T,L,M,M0,mc,rm,rm2,rm4,error,mc*tau,c,time_of_save
4.0,10,1500,1000,1,0.16737333333333376,0.04357573333333325,0.005200566293333322,0.003848893101019381,0.21395415296769457,0.17624566170365766,2024-03-26 19:10:08.111289
3.9,10,1500,1000,1,0.16885333333333358,0.04373920000000005,0.005365823359999979,0.003820551431637699,0.21891504794330757,0.1795982815313389,2024-03-26 19:10:09.836720
3.8,10,1500,1000,1,0.176386666666667,0.04969146666666663,0.007221344746666655,0.004424760492978237,0.29033923825489955,0.22501000484769,2024-03-26 19:10:12.154676
3.7,10,1500,1000,1,0.18674666666666678,0.05355679999999992,0.007648663679999998,0.0043151964740421565,0.2475286255718619,0.1984151870329996,2024-03-26 19:10:15.046911
3.6,10,1500,1000,1,0.18381333333333358,0.05166719999999999,0.006913041919999992,0.004245581006224442,0.256086440433035,0.2038764468667852,2024-03-26 19:10:17.228190
3.5,10,1500,1000,1,0.19364000000000015,0.05911813333333334,0.010291590933333346,0.004827360894145621,0.30833482337919665,0.2356696602959956,2024-03-26 19:10:19.574091
3.4,10,1500,1000,1,0.20150666666666722,0.06172453333333344,0.009847679893333322,0.004741409428406114,0.29834491289918336,0.22978864085736966,2024-03-26 19:10:21.782796
3.3,10,1500,1000,1,0.2232800000000004,0.07482453333333336,0.01440935893333331,0.005180217127094053,0.3059881346990044,0.23429625933739934,2024-03-26 19:10:23.951866
3.2,10,1500,1000,1,0.23657333333333372,0.0852434666666667,0.01941333066666658,0.0057863321334720615,0.357725771524058,0.26347424423012017,2024-03-26 19:10:25.949078
3.1,10,1500,1000,1,0.2394799999999996,0.08536879999999988,0.017650697919999937,0.005525457932607007,0.31725705286755534,0.2408467293281247,2024-03-26 19:10:28.111794
3.0,10,1500,1000,1,0.2543866666666665,0.09753679999999984,0.02414926112,0.00613828782918546,0.360917024527274,0.2652013444042568,2024-03-26 19:10:29.979752
2.9,10,1500,1000,1,0.3038533333333341,0.13539653333333326,0.04290875957333342,0.007042023325887051,0.36354402771750904,0.2666170070988173,2024-03-26 19:10:31.620889
2.8,10,1500,1000,1,0.360226666666667,0.17938426666666635,0.06520477514666681,0.007347550828498105,0.31598244508490125,0.2401114439368646,2024-03-26 19:10:33.404827
2.7,10,1500,1000,1,0.36155999999999944,0.18124773333333338,0.06785120245333323,0.007421147825541052,0.31756452135632385,0.24102388627573046,2024-03-26 19:10:35.324733
2.6,10,1500,1000,1,0.4647599999999999,0.27458266666666775,0.1254067751466674,0.007576603488362715,0.2349453003611699,0.19024753589690022,2024-03-26 19:10:37.257448
2.58,10,5000,5000,5,0.47745199999999716,0.2915085599999996,0.14212576502399954,0.004090522835581641,0.7912794619243236,0.13663292664888904,2024-03-26 19:11:00.343876
2.56,10,5000,5000,5,0.49178399999999695,0.3049742399999998,0.15125870918399942,0.004065578546961608,0.7731725557614887,0.13392507296354425,2024-03-26 19:11:29.696342
4.0,10,1500,1000,1,0.16737333333333376,0.04357573333333325,0.005200566293333322,0.003848893101019381,0.21395415296769457,0.17624566170365766,2024-03-26 19:11:46.409790
3.9,10,1500,1000,1,0.16885333333333358,0.04373920000000005,0.005365823359999979,0.003820551431637699,0.21891504794330757,0.1795982815313389,2024-03-26 19:11:48.021035
3.8,10,1500,1000,1,0.176386666666667,0.04969146666666663,0.007221344746666655,0.004424760492978237,0.29033923825489955,0.22501000484769,2024-03-26 19:11:49.585681
3.7,10,1500,1000,1,0.18674666666666678,0.05355679999999992,0.007648663679999998,0.0043151964740421565,0.2475286255718619,0.1984151870329996,2024-03-26 19:11:51.428235
3.6,10,1500,1000,1,0.18381333333333358,0.05166719999999999,0.006913041919999992,0.004245581006224442,0.256086440433035,0.2038764468667852,2024-03-26 19:11:53.196780
3.5,10,1500,1000,1,0.19364000000000015,0.05911813333333334,0.010291590933333346,0.004827360894145621,0.30833482337919665,0.2356696602959956,2024-03-26 19:11:54.665489
