T,L,M,M0,mc,rm,rm2,rm4,error,mc*tau,c,time_of_save
2.6,20,7000,5000,1,0.23886142857142947,0.08375947142857214,0.016648604200357284,0.002661151733994911,0.4281534634930833,0.2997951371737558,2024-04-02 19:29:25.312299
2.5,20,7000,5000,1,0.3185178571428585,0.14291676785714444,0.04308891331348207,0.003244586955261326,0.38863755929443244,0.27986968715717253,2024-04-02 19:29:45.100988
2.48,20,10000,7000,1,0.3566250000000013,0.1711906150000009,0.054942579698874304,0.0027048698891570075,0.33122586471035087,0.24881267220752148,2024-04-02 19:30:13.393830
3.9,40,9000,7000,1,0.042894722222222334,0.002900392013888885,2.511457200249511e-05,0.0004229354577174208,0.2590610866174493,0.20575736107724052,2024-04-02 19:30:26.288472
2.46,20,10000,7000,1,0.3694509999999996,0.18336346000000098,0.06304322028999974,0.002789391964442258,0.3300409695567283,0.24814346107452862,2024-04-02 19:30:41.206944
2.44,20,10000,7000,1,0.33477650000000214,0.1596166675000021,0.053306972041186736,0.0029380551414154308,0.40785870991049866,0.2897014501806274,2024-04-02 19:31:09.746647
2.42,20,10000,7000,1,0.4642360000000006,0.2640554700000005,0.10774950516149936,0.002639850635927561,0.21783611949627252,0.17887145569830445,2024-04-02 19:31:37.350878
2.4,20,10000,7000,1,0.46381400000000084,0.265262105,0.10950620658987434,0.0026979133429532536,0.22586041732450438,0.1842464395884932,2024-04-02 19:32:04.579328
3.8,40,9000,7000,1,0.044205277777777954,0.0030985805555555626,2.964731922091996e-05,0.00044546680696980147,0.2802563135880891,0.21890641007864545,2024-04-02 19:32:16.330616
2.38,20,10000,7000,1,0.46873550000000175,0.2731422125000008,0.11744391087856207,0.002804941457240747,0.23627250334309913,0.19111684738128248,2024-04-02 19:32:32.892157
2.36,20,10000,7000,1,0.5223575,0.32675437750000214,0.15573841744918512,0.002732071092958463,0.19245131728911932,0.1613913410961145,2024-04-02 19:33:01.008098
2.34,20,10000,7000,1,0.579631499999996,0.38076890250000245,0.19063799526580905,0.0023752726119186745,0.1297316086171584,0.1148340080313019,2024-04-02 19:33:28.410448
2.32,20,10000,7000,1,0.613836499999997,0.42262342750000015,0.22874815937743398,0.002381072546613226,0.11856118055300556,0.10599436366492719,2024-04-02 19:33:56.002690
3.7,40,9000,7000,1,0.04606083333333349,0.0032882395833333444,3.071962177083314e-05,0.0004462546528799646,0.26814190386166425,0.21144471533125414,2024-04-02 19:34:04.025107
2.3,20,10000,7000,1,0.6220359999999999,0.43570893000000105,0.24317427530024943,0.002465903370118721,0.12327402549341997,0.10974528271431315,2024-04-02 19:34:23.608924
2.28,20,10000,7000,1,0.697889,0.5188949000000036,0.3117382987264989,0.00189446056690159,0.0634928180457276,0.059702159683975936,2024-04-02 19:34:50.724436
2.26,20,10000,7000,1,0.7416099999999985,0.5729461400000085,0.36294478853075,0.0015751206076183373,0.040270930927037936,0.038711964094921385,2024-04-02 19:35:18.402628
2.24,20,10000,7000,1,0.7511115000000005,0.5841526575000082,0.3733121505226877,0.0014609825675754662,0.0340401532578777,0.032919566179930033,2024-04-02 19:35:45.966885
3.6,40,9000,7000,1,0.04878875000000004,0.0037175970486111303,3.98968539895294e-05,0.0004889214506563174,0.3044082054717871,0.2333688213512017,2024-04-02 19:35:53.263719
2.22,20,10000,7000,1,0.7786879999999979,0.6234808750000097,0.41757921668987646,0.0013435222503031358,0.026995607148440282,0.026286000602667017,2024-04-02 19:36:13.898930
2.2,20,10000,7000,1,0.7995520000000005,0.6527718950000169,0.45232296792612087,0.0011844504953372305,0.020044322633911548,0.01965044281816502,2024-04-02 19:36:41.978893
2.18,20,2100,2100,1,0.8156833333333346,0.6725001785714275,0.4693357517294645,0.0018645470072773565,0.009764608442305315,0.009670182892791724,2024-04-02 19:36:49.008883
2.16,20,2100,2100,1,0.837304761904763,0.7077923333333317,0.5170089992976202,0.0018036429745367222,0.008826047503074528,0.008748829914651495,2024-04-02 19:36:55.962907
2.14,20,2100,2100,1,0.8637142857142852,0.7494942857142838,0.5714560776142839,0.0012946737019094545,0.004017794515185708,0.00400171644081846,2024-04-02 19:37:02.835980
2.12,20,2100,2100,1,0.8652261904761916,0.7531171071428542,0.5794203677133913,0.0014718462757633102,0.005393506217042593,0.00536457236265285,2024-04-02 19:37:09.728050
2.0,20,2100,2100,1,0.9118261904761916,0.8333052023809453,0.7002168892229099,0.0009474450673121808,0.0018285542989826024,0.0018252167909728937,2024-04-02 19:37:16.543163
1.9,20,2100,2100,1,0.939638095238096,0.8836806904761854,0.78350502223154,0.0006022914174536774,0.0005551976627136271,0.0005548895893105778,2024-04-02 19:37:23.399237
1.8,20,2100,2100,1,0.9557666666666642,0.9140361904761876,0.8374086684118962,0.0005102377602504114,0.0004119177431868122,0.00041174813682353045,2024-04-02 19:37:30.296296
1.7,20,2100,2100,1,0.9692666666666587,0.9397811666666654,0.8842998058934439,0.00038011287106403557,0.00020543229189522722,0.00020539009813663444,2024-04-02 19:37:37.270314
3.5,40,9000,7000,1,0.05024944444444469,0.003936528819444481,4.4151106783311764e-05,0.0005053232049001853,0.3140729030271393,0.2390072136056007,2024-04-02 19:37:42.676226
1.6,20,2100,2100,1,0.9792333333333199,0.9590842619047638,0.9205459531065383,0.000297913778512569,0.00010654435397022766,0.00010653300348019536,2024-04-02 19:37:43.904524
1.5,20,2100,2100,1,0.9860642857142682,0.9724912500000027,0.9463686782312429,0.00028327821911070737,0.00012855058277263566,0.00012853405964436223,2024-04-02 19:37:50.640689
