T,L,M,M0,mc,rm,rm2,rm4,error,mc*tau,c,time_of_save
2.04,20,500,500,5,0.8966399999999995,0.8067904000000002,0.6589663451350005,0.00238176558308717,0.008217972658784134,0.0016408975614975762,2024-03-23 11:45:13.044831
2.03,20,500,500,5,0.9065299999999995,0.8234598499999997,0.6832900652562511,0.0018248429588480994,0.0027308836697622586,0.0005458785877682499,2024-03-23 11:45:18.762813
2.02,20,500,500,5,0.9023600000000003,0.8165361000000005,0.6735852430425008,0.002140217043302015,0.008470967374817293,0.0016913280380373929,2024-03-23 11:45:24.489752
2.01,20,500,500,5,0.8990699999999998,0.8121373500000008,0.67042744797375,0.0027688922311970674,0.015022361582448306,0.0029954725022817495,2024-03-23 11:45:30.528713
2.0,20,500,100,5,0.9075899999999996,0.8259611499999998,0.6891075154637502,0.0021203787786778666,0.007206180858286855,0.0014391619993270662,2024-03-23 11:45:35.598232
1.9,20,500,100,5,0.9383100000000009,0.8814173500000012,0.7802327709737509,0.0014086958674595963,0.00130615782586119,0.0002611633410638863,2024-03-23 11:45:40.797984
1.8,20,500,100,5,0.95612,0.9146518000000009,0.8383275252850011,0.0009863770840163489,0.0006388252271658486,0.00012774872361169344,2024-03-23 11:45:45.794905
1.7,20,500,100,5,0.9710800000000026,0.9432649000000014,0.8907418842325036,0.0007328556679753635,4.762016245444044e-05,9.52394178455709e-06,2024-03-23 11:45:51.763324
1.6,20,500,100,5,0.9806500000000055,0.961827550000001,0.9256908280637538,0.0005534216797286854,0.0001677981838403741,3.3558510556650064e-05,2024-03-23 11:45:57.082577
1.5,20,500,100,5,0.9866900000000056,0.9736616500000013,0.9484182654662525,0.0004571538507804139,2.205036486057469e-05,4.410053523457089e-06,2024-03-23 11:46:02.136975
1.4,20,500,100,5,0.9913400000000046,0.9828125000000009,0.9661442078824993,0.000339145831542246,0.0002411786916548827,4.823341175674823e-05,2024-03-23 11:46:07.095963
1.3,20,500,100,5,0.9945400000000036,0.9891449000000004,0.9785453642374988,0.0002649122650660454,6.085330122245916e-05,1.2170512121323803e-05,2024-03-23 11:46:11.919541
1.2,20,500,100,5,0.9971300000000018,0.9942850500000008,0.988669212596248,0.00018337243548664412,-5.5752504659394986e-05,-1.1150625266936426e-05,2024-03-23 11:46:16.954279
1.1,20,500,100,5,0.9982900000000013,0.9965929500000004,0.9932372124187482,0.0001416044744844671,3.39105578458457e-06,6.782106969468527e-07,2024-03-23 11:46:21.793710
1.0,20,500,100,5,0.9994300000000004,0.9988635500000002,0.997741195238749,8.031473521308333e-05,9.949054341261465e-05,1.9897712755671984e-05,2024-03-23 11:46:26.555571
0.9,20,500,100,5,0.9997700000000002,0.9995414500000002,0.9990886531262495,5.286020338193744e-05,9.859523021434782e-07,1.9719042154462561e-07,2024-03-23 11:46:31.479684
0.8,20,500,100,5,0.9999300000000001,0.9998603500000001,0.99972209300875,2.6271657600063822e-05,-2.4503422144640276e-08,-4.900684452944764e-09,2024-03-23 11:46:36.637297
0.7,20,500,100,5,0.99999,0.99998005,0.9999602990012499,9.9899949849754e-06,-5.000105716426011e-10,-1.0000211433852061e-10,2024-03-23 11:46:41.445777
0.6,20,500,100,5,1.0,1.0,1.0,0.0,0.0,0.0,2024-03-23 11:46:46.263436
0.5,20,500,100,5,1.0,1.0,1.0,0.0,0.0,0.0,2024-03-23 11:46:51.154274
0.4,20,500,100,5,1.0,1.0,1.0,0.0,0.0,0.0,2024-03-23 11:46:56.202267
0.3,20,500,100,5,1.0,1.0,1.0,0.0,0.0,0.0,2024-03-23 11:47:01.721773
0.2,20,500,100,5,1.0,1.0,1.0,0.0,0.0,0.0,2024-03-23 11:47:06.879296
0.1,20,500,100,5,1.0,1.0,1.0,0.0,0.0,0.0,2024-03-23 11:47:11.766098
4.0,40,500,100,5,0.04235750000000002,0.002788340625,2.2309322622070314e-05,0.0014108838018653236,0.0028006228129574323,0.0005598109987007054,2024-03-23 11:47:54.360676
3.9,40,500,100,5,0.042597499999999996,0.002858996875000001,2.3967165756835923e-05,0.0014978265225377106,0.18500714914926336,0.03568117532482451,2024-03-23 11:48:15.209018
3.8,40,500,100,5,0.045149999999999954,0.0030557937499999985,2.5102870712890607e-05,0.0014455720888000706,0.06775007639038516,0.013368866926966063,2024-03-23 11:48:35.793742
3.7,40,500,100,5,0.04784750000000001,0.0036287156250000003,4.0115433442382766e-05,0.0017184567552608974,0.25612470119901765,0.048728809866438474,2024-03-23 11:48:56.428350
3.6,40,500,100,5,0.04704999999999999,0.0033954312500000003,3.2484068017578063e-05,0.0015628991017049068,0.08377144724413482,0.01647820876950449,2024-03-23 11:49:17.183852
3.5,40,500,100,5,0.047357500000000004,0.0036688531250000005,4.7886955961914055e-05,0.0018096962673040476,0.3705507319718587,0.06899678458782696,2024-03-23 11:49:37.922491
3.4,40,500,100,5,0.04889749999999997,0.0036897531250000026,4.0308357446289054e-05,0.0016822590796568687,0.2236897417181766,0.04282217221511333,2024-03-23 11:49:58.509619
